Categoría: Todas las categorías

Día,covid: (Ciudad de México),cuarentena: (Ciudad de México),semaforo: (Ciudad de México),salud mental: (Ciudad de México),pandemia: (Ciudad de México)
2020-04-13,92,21,<1,<1,6
2020-04-14,83,17,0,1,6
2020-04-15,90,16,0,1,6
2020-04-16,100,31,<1,1,8
2020-04-17,87,14,1,<1,5
2020-04-18,86,14,<1,<1,5
2020-04-19,75,13,<1,1,4
2020-04-20,76,12,<1,<1,6
2020-04-21,95,10,<1,1,9
2020-04-22,100,12,<1,<1,8
2020-04-23,88,11,<1,<1,8
2020-04-24,86,20,<1,<1,8
2020-04-25,87,18,<1,0,7
2020-04-26,76,15,<1,0,6
2020-04-27,81,14,<1,<1,7
2020-04-28,85,15,<1,<1,6
2020-04-29,78,11,<1,1,6
2020-04-30,77,13,<1,<1,5
2020-05-01,67,9,<1,<1,5
2020-05-02,89,11,<1,1,6
2020-05-03,94,11,0,<1,7
2020-05-04,94,12,<1,<1,7
2020-05-05,87,10,<1,1,6
2020-05-06,95,9,<1,<1,6
2020-05-07,87,13,<1,1,6
2020-05-08,83,9,<1,1,7
2020-05-09,90,14,0,1,6
2020-05-10,66,12,<1,<1,5
2020-05-11,81,13,<1,<1,5
2020-05-12,77,14,0,1,5
2020-05-13,86,13,6,1,5
2020-05-14,83,7,4,1,5
2020-05-15,84,9,4,1,5
2020-05-16,92,8,2,<1,6
2020-05-17,88,9,2,1,5
2020-05-18,86,9,3,<1,6
2020-05-19,81,7,2,1,6
2020-05-20,90,9,5,<1,5
2020-05-21,85,10,5,<1,4
2020-05-22,77,8,3,<1,5
2020-05-23,83,7,2,0,5
2020-05-24,87,9,3,<1,4
2020-05-25,84,9,3,1,4
2020-05-26,82,9,4,<1,6
2020-05-27,86,7,5,<1,5
2020-05-28,80,7,4,<1,4
2020-05-29,81,6,6,<1,4
2020-05-30,83,6,4,<1,4
2020-05-31,76,7,4,<1,4
2020-06-01,86,7,6,<1,5
2020-06-02,77,6,4,1,4
2020-06-03,79,5,3,1,4
2020-06-04,82,5,2,<1,4
2020-06-05,75,6,3,<1,4
2020-06-06,82,5,3,<1,4
2020-06-07,82,4,4,<1,4
2020-06-08,82,5,6,<1,3
2020-06-09,78,5,3,<1,4
2020-06-10,84,6,4,<1,6
2020-06-11,78,5,4,1,4
2020-06-12,84,6,10,<1,5
2020-06-13,79,5,13,<1,4
2020-06-14,74,4,10,<1,4
2020-06-15,87,4,15,1,4
2020-06-16,82,4,8,<1,4
2020-06-17,78,5,6,1,4
2020-06-18,78,5,7,<1,3
2020-06-19,79,4,12,<1,4
2020-06-20,69,5,6,<1,4
